"","ID","SENNA","Seurat","SPARK_X","Giotto_kmeans","Giotto_rank","SI"
"1","DR_sim",0.713,0.275,0.086,0.023,0.034,0.1
"2","FPR_sim",0.014,0.167,0,0.016,0.023,0.1
"3","DR_prm",0,0.174,0,0.025,0.025,0.1
"4","DR_sim",0.925,0.427,0.487,0.029,0.026,0.131034482758621
"5","FPR_sim",0.021,0.156,0.002,0.025,0.016,0.131034482758621
"6","DR_prm",0,0.167,0,0.018,0.02,0.131034482758621
"7","DR_sim",0.979,0.576,0.775,0.037,0.03,0.162068965517241
"8","FPR_sim",0.036,0.175,0.002,0.029,0.018,0.162068965517241
"9","DR_prm",0,0.149,0,0.036,0.017,0.162068965517241
"10","DR_sim",0.996,0.759,0.928,0.046,0.078,0.193103448275862
"11","FPR_sim",0.016,0.172,0.003,0.033,0.047,0.193103448275862
"12","DR_prm",0,0.145,0,0.013,0.02,0.193103448275862
"13","DR_sim",1,0.872,0.976,0.093,0.099,0.224137931034483
"14","FPR_sim",0.02,0.157,0.005,0.025,0.038,0.224137931034483
"15","DR_prm",0,0.159,0,0.018,0.018,0.224137931034483
"16","DR_sim",1,0.953,0.992,0.157,0.175,0.255172413793103
"17","FPR_sim",0.017,0.182,0.002,0.047,0.057,0.255172413793103
"18","DR_prm",0,0.156,0,0.011,0.023,0.255172413793103
"19","DR_sim",1,0.976,0.997,0.299,0.306,0.286206896551724
"20","FPR_sim",0.036,0.172,0.003,0.051,0.069,0.286206896551724
"21","DR_prm",0,0.18,0,0.027,0.024,0.286206896551724
"22","DR_sim",1,0.995,1,0.381,0.396,0.317241379310345
"23","FPR_sim",0.027,0.167,0.001,0.077,0.077,0.317241379310345
"24","DR_prm",0,0.196,0,0.028,0.025,0.317241379310345
"25","DR_sim",1,0.996,1,0.484,0.511,0.348275862068966
"26","FPR_sim",0.031,0.148,0.002,0.073,0.089,0.348275862068966
"27","DR_prm",0,0.178,0,0.032,0.018,0.348275862068966
"28","DR_sim",1,0.996,1,0.628,0.615,0.379310344827586
"29","FPR_sim",0.035,0.158,0.001,0.094,0.099,0.379310344827586
"30","DR_prm",0,0.158,0,0.005,0.014,0.379310344827586
"31","DR_sim",1,1,1,0.733,0.695,0.410344827586207
"32","FPR_sim",0.023,0.171,0.004,0.098,0.12,0.410344827586207
"33","DR_prm",0,0.181,0,0.02,0.027,0.410344827586207
"34","DR_sim",1,1,1,0.802,0.787,0.441379310344828
"35","FPR_sim",0.025,0.176,0.004,0.115,0.103,0.441379310344828
"36","DR_prm",0,0.185,0,0.026,0.007,0.441379310344828
"37","DR_sim",1,1,1,0.873,0.839,0.472413793103448
"38","FPR_sim",0.023,0.179,0.001,0.111,0.097,0.472413793103448
"39","DR_prm",0,0.16,0,0.014,0.014,0.472413793103448
"40","DR_sim",1,1,1,0.902,0.876,0.503448275862069
"41","FPR_sim",0.022,0.17,0.003,0.1,0.11,0.503448275862069
"42","DR_prm",0,0.174,0,0.022,0.021,0.503448275862069
"43","DR_sim",1,1,1,0.948,0.916,0.53448275862069
"44","FPR_sim",0.022,0.157,0.006,0.126,0.125,0.53448275862069
"45","DR_prm",0,0.159,0,0.013,0.015,0.53448275862069
"46","DR_sim",1,1,1,0.947,0.942,0.56551724137931
"47","FPR_sim",0.029,0.169,0.004,0.126,0.12,0.56551724137931
"48","DR_prm",0,0.164,0,0.014,0.02,0.56551724137931
"49","DR_sim",1,1,1,0.964,0.964,0.596551724137931
"50","FPR_sim",0.031,0.184,0.002,0.11,0.144,0.596551724137931
"51","DR_prm",0,0.173,0,0.024,0.017,0.596551724137931
"52","DR_sim",1,1,1,0.971,0.958,0.627586206896552
"53","FPR_sim",0.027,0.176,0.002,0.1,0.11,0.627586206896552
"54","DR_prm",0,0.154,0,0.005,0.026,0.627586206896552
"55","DR_sim",1,1,1,0.985,0.982,0.658620689655172
"56","FPR_sim",0.028,0.179,0.001,0.13,0.114,0.658620689655172
"57","DR_prm",0,0.157,0,0.02,0.015,0.658620689655172
"58","DR_sim",1,1,1,0.989,0.983,0.689655172413793
"59","FPR_sim",0.027,0.169,0.005,0.113,0.11,0.689655172413793
"60","DR_prm",0,0.187,0,0.02,0.02,0.689655172413793
"61","DR_sim",1,1,1,0.987,0.994,0.720689655172414
"62","FPR_sim",0.028,0.166,0.003,0.115,0.128,0.720689655172414
"63","DR_prm",0,0.168,0,0.023,0.022,0.720689655172414
"64","DR_sim",1,1,1,0.993,0.996,0.751724137931034
"65","FPR_sim",0.022,0.173,0.001,0.114,0.107,0.751724137931034
"66","DR_prm",0,0.177,0,0.008,0.009,0.751724137931034
"67","DR_sim",1,1,1,0.999,0.997,0.782758620689655
"68","FPR_sim",0.025,0.162,0.004,0.133,0.113,0.782758620689655
"69","DR_prm",0,0.167,0,0.026,0.023,0.782758620689655
"70","DR_sim",1,1,1,0.998,0.997,0.813793103448276
"71","FPR_sim",0.02,0.183,0.001,0.122,0.113,0.813793103448276
"72","DR_prm",0,0.172,0,0.023,0.028,0.813793103448276
"73","DR_sim",1,1,1,0.999,1,0.844827586206896
"74","FPR_sim",0.03,0.179,0.003,0.123,0.116,0.844827586206896
"75","DR_prm",0,0.162,0,0.015,0.011,0.844827586206896
"76","DR_sim",1,1,0.999,1,1,0.875862068965517
"77","FPR_sim",0.02,0.166,0.002,0.129,0.121,0.875862068965517
"78","DR_prm",0,0.184,0,0.017,0.018,0.875862068965517
"79","DR_sim",1,1,1,1,1,0.906896551724138
"80","FPR_sim",0.031,0.167,0.002,0.124,0.125,0.906896551724138
"81","DR_prm",0,0.154,0,0.03,0.018,0.906896551724138
"82","DR_sim",1,1,1,1,0.999,0.937931034482759
"83","FPR_sim",0.024,0.17,0.001,0.118,0.127,0.937931034482759
"84","DR_prm",0,0.157,0,0.027,0.022,0.937931034482759
"85","DR_sim",1,1,1,1,1,0.968965517241379
"86","FPR_sim",0.016,0.174,0.002,0.138,0.109,0.968965517241379
"87","DR_prm",0,0.175,0,0.016,0.025,0.968965517241379
"88","DR_sim",1,1,1,1,1,1
"89","FPR_sim",0.03,0.147,0.005,0.11,0.118,1
"90","DR_prm",0,0.166,0,0.014,0.023,1
